"external_id","week","mo","tu","we","th","fr","sa","q2","group"
"00c2c",1,4.155,4.162,1.963,1.978,4.166,4.164,5,"lts"
"0d293",1,4.155,4.162,1.963,1.978,4.166,4.164,4,"lts"
"27e23",1,4.155,4.162,1.963,1.978,4.166,4.164,4,"lts"
"343ab",1,4.155,4.162,1.963,1.978,4.166,4.164,4,"lts"
"365cd",1,4.155,4.162,1.963,1.978,4.166,4.164,4,"lts"
"3fe63",1,4.155,4.162,1.963,1.978,4.166,4.164,5,"lts"
"40c71",1,4.155,4.162,1.963,1.978,4.166,4.164,4,"lts"
"4d5eb",1,4.155,4.162,1.963,1.978,4.166,4.164,3,"lts"
"50bf3",1,4.155,4.162,1.963,1.978,4.166,4.164,4,"lts"
"54ed7",1,4.155,4.162,1.963,1.978,4.166,4.164,4,"lts"
"5542e",1,4.155,4.162,1.963,1.978,4.166,4.164,3,"lts"
"57ea9",1,4.155,4.162,1.963,1.978,4.166,4.164,5,"lts"
"5aa56",1,4.155,4.162,1.963,1.978,4.166,4.164,5,"lts"
"5c3d1",1,4.155,4.162,1.963,1.978,4.166,4.164,4,"lts"
"7d03b",1,4.155,4.162,1.963,1.978,4.166,4.164,4,"lts"
"88df4",1,4.155,4.162,1.963,1.978,4.166,4.164,4,"lts"
"8a560",1,4.155,4.162,1.963,1.978,4.166,4.164,4,"lts"
"9d7d1",1,4.155,4.162,1.963,1.978,4.166,4.164,3,"lts"
"a711f",1,4.155,4.162,1.963,1.978,4.166,4.164,4,"lts"
"bb4ea",1,4.155,4.162,1.963,1.978,4.166,4.164,4,"lts"
"bb8d0",1,4.155,4.162,1.963,1.978,4.166,4.164,5,"lts"
"bd209",1,4.155,4.162,1.963,1.978,4.166,4.164,3,"lts"
"c05b7",1,4.155,4.162,1.963,1.978,4.166,4.164,4,"lts"
"c42b6",1,4.155,4.162,1.963,1.978,4.166,4.164,5,"lts"
"c565b",1,4.155,4.162,1.963,1.978,4.166,4.164,4,"lts"
