"external_id","week","mo","tu","we","th","fr","sa","n","n_lowq","q2","n_full","n_obs","q4","week_q"
"00c2c",1,4.155,4.162,1.963,1.978,4.166,4.164,7,2,5,30,38,NA,"4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
"023ce",1,4.155,4.162,1.963,1.978,NA,4.164,6,2,4,30,38,NA,"4.155000,4.162000,1.963000,1.978000,NA,4.164000"
"0d293",1,4.155,4.162,1.963,1.978,4.166,4.164,7,2,4,30,38,NA,"4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
"27e23",1,4.155,4.162,1.963,1.978,4.166,4.164,7,2,4,30,38,NA,"4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
"343ab",1,4.155,4.162,1.963,1.978,4.166,4.164,7,2,4,30,38,NA,"4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
"365cd",1,4.155,4.162,1.963,1.978,4.166,4.164,7,2,4,30,38,NA,"4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
"3adab",1,4.155,4.162,1.963,1.978,4.166,NA,6,2,5,30,38,NA,"4.155000,4.162000,1.963000,1.978000,4.166000,NA"
"3fe63",1,4.155,4.162,1.963,1.978,4.166,4.164,7,2,5,30,38,"Mam wrażenie, że na początku tygodnia jakość była słaba, ale w drugiej połowie była już bardzo dobra.","4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
"40c71",1,4.155,4.162,1.963,1.978,4.166,4.164,7,2,4,30,38,"Jakość niejednakowa w roznych dniach, to znaczy:
Pon 5/5
Wt 5/5
Sr 2/5
Czw 3/5 
Pt 5/5
Sob 5/5","4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
"4d5eb",1,4.155,4.162,1.963,1.978,4.166,4.164,7,2,3,30,38,NA,"4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
"50bf3",1,4.155,4.162,1.963,1.978,4.166,4.164,7,2,4,30,38,NA,"4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
"54ed7",1,4.155,4.162,1.963,1.978,4.166,4.164,7,2,4,30,38,NA,"4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
"5542e",1,4.155,4.162,1.963,1.978,4.166,4.164,7,2,3,30,38,NA,"4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
"559e2",1,4.155,4.162,1.963,NA,4.166,4.164,6,1,4,30,38,NA,"4.155000,4.162000,1.963000,NA,4.166000,4.164000"
"57ea9",1,4.155,4.162,1.963,1.978,4.166,4.164,7,2,5,30,38,"Poza środa i czwartkiem jakość była wspaniała","4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
"5870e",1,NA,NA,NA,1.978,4.166,4.164,4,1,3,30,38,"Po długim problemie z powiadomieniami stwierdzam że z tego co zauważyłem to powiadomienia przestają przychodzić jeśli w aplikacji jest taka przerwa jak ostatnio. Jeśli filmy są codziennie na bieżąco to wtedy powiadomienia przychodzą normalnie.","NA,NA,NA,1.978000,4.166000,4.164000"
"5aa56",1,4.155,4.162,1.963,1.978,4.166,4.164,7,2,5,30,38,NA,"4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
"5c3d1",1,4.155,4.162,1.963,1.978,4.166,4.164,7,2,4,30,38,NA,"4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
"7d03b",1,4.155,4.162,1.963,1.978,4.166,4.164,7,2,4,30,38,"Poniedziałek, wtorek, piątek i sobota - dobra jakość 
Środa i czwartek - zła jakość","4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
"88df4",1,4.155,4.162,1.963,1.978,4.166,4.164,7,2,4,30,38,"Na ogół jakość większości filmików bardzo dobra ale był też  filmik jeden lub dwa  niewyraźny lub o niezbyt dobrej ostrości","4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
"898c1",1,NA,4.162,1.963,1.978,NA,4.164,5,2,4,30,38,NA,"NA,4.162000,1.963000,1.978000,NA,4.164000"
"8a560",1,4.155,4.162,1.963,1.978,4.166,4.164,7,2,4,30,38,NA,"4.155000,4.162000,1.963000,1.978000,4.166000,4.164000"
