"external_id","week","q2","group"
"10",1,4,"labPl"
"10",13,2,"labPl"
"10",12,3,"labPl"
"10",4,4,"labPl"
"10",8,3,"labPl"
"10",9,2,"labPl"
"10",3,4,"labPl"
"10",6,4,"labPl"
"10",7,4,"labPl"
"10",11,2,"labPl"
"10",10,3,"labPl"
"10",2,4,"labPl"
"10",5,5,"labPl"
"11",5,4,"labPl"
"11",9,4,"labPl"
"11",6,3,"labPl"
"11",4,5,"labPl"
"11",2,4,"labPl"
"11",11,3,"labPl"
"11",3,4,"labPl"
"11",1,3,"labPl"
"11",13,3,"labPl"
"11",8,2,"labPl"
"11",10,3,"labPl"
"11",7,4,"labPl"
"11",12,3,"labPl"
"12",10,2,"labPl"
"12",5,3,"labPl"
"12",8,2,"labPl"
"12",6,3,"labPl"
"12",11,1,"labPl"
"12",2,3,"labPl"
"12",1,4,"labPl"
"12",12,3,"labPl"
"12",4,3,"labPl"
"12",7,4,"labPl"
"12",9,2,"labPl"
"12",13,2,"labPl"
"12",3,3,"labPl"
"13",7,2,"labPl"
"13",2,3,"labPl"
"13",3,4,"labPl"
"13",12,2,"labPl"
"13",5,3,"labPl"
"13",4,4,"labPl"
"13",13,2,"labPl"
"13",6,3,"labPl"
"13",9,2,"labPl"
"13",8,2,"labPl"
"13",11,3,"labPl"
"13",1,4,"labPl"
"13",10,3,"labPl"
"14",9,2,"labPl"
"14",6,3,"labPl"
"14",11,2,"labPl"
"14",10,3,"labPl"
"14",3,3,"labPl"
"14",13,2,"labPl"
"14",7,3,"labPl"
"14",4,4,"labPl"
"14",5,3,"labPl"
"14",8,3,"labPl"
"14",12,3,"labPl"
"14",2,3,"labPl"
"14",1,4,"labPl"
"15",10,2,"labPl"
"15",7,4,"labPl"
"15",13,2,"labPl"
"15",3,3,"labPl"
"15",11,1,"labPl"
"15",5,3,"labPl"
"15",12,2,"labPl"
"15",1,3,"labPl"
"15",4,4,"labPl"
"15",8,3,"labPl"
"15",2,3,"labPl"
"15",9,2,"labPl"
"15",6,3,"labPl"
"16",6,4,"labPl"
"16",13,2,"labPl"
"16",1,3,"labPl"
"16",12,3,"labPl"
"16",7,4,"labPl"
"16",2,3,"labPl"
"16",5,4,"labPl"
"16",11,3,"labPl"
"16",4,3,"labPl"
"16",3,4,"labPl"
"16",9,2,"labPl"
"16",8,3,"labPl"
"16",10,2,"labPl"
"17",2,3,"labPl"
